geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
geo,Georgia,7.9,7.2,7.6,6.8,7.3,5.9,5.9,6.2,5.8,6.1,6.2,6.9,7.2,6.1,5.5,4.9,5,4.7,4.5,4.2,2.7,2.4,2.5,2.1,1.9
gha,Ghana,98,91,88,85,83,81,79,78,73,67,68,63,62,60,60,57,57,54,53,50,51,47,42,36,34
gin,Guinea,33,34,40,42,44,51,46,47,48,58,45,45,46,46,44,43,42,39,39,32,38,27,24,25,31
gmb,Gambia,46,42,38,37,33,38,46,44,37,34,42,35,33,33,31,31,32,32,34,28,32,33,27,22,21
gnb,Guinea-Bissau,64,70,77,83,84,94,86,91,89,85,81,78,76,68,56,52,50,49,54,42,38,39,27,35,33
gnq,Equatorial Guinea,158,151,146,142,139,137,135,133,130,130,107,120,115,109,96,96,90,83,83,76,79,67,35,18,47
grc,Greece,1,1.2,0.97,1.2,0.86,0.99,0.86,1,0.84,0.91,0.76,0.73,1.1,0.76,0.56,0.46,0.49,0.58,0.51,0.45,0.39,0.34,0.37,0.45,0.44
grd,Grenada,1.3,1.4,1,1.2,3,2.8,1.5,2,2.3,3.1,1.5,1.5,1.6,1.9,1.9,2.5,2,1.9,1.4,1.2,0.84,0.84,0.98,0.98,0.92
gtm,Guatemala,5.1,4.6,4,3.6,3.4,3.3,3.1,3.3,3.5,3.3,3,2.7,2.2,2.7,2.5,2.4,2.4,2.4,2.2,2.5,1.5,1.7,2.1,2.6,2.6
guy,Guyana,21,18,25,23,27,24,22,30,25,27,33,26,30,26,18,18,19,17,12,15,14,18,18,20,20
hnd,Honduras,36,23,17,8.8,11,9.4,8.7,7.9,7.4,7,6.5,7,6.3,5.9,5.6,5.5,5.4,5.3,5.4,5.4,6.1,5.9,5.6,5.4,5.4
hrv,Croatia,4.2,3.6,4.5,4,3.9,2.8,3.4,2.4,2.4,2.9,2,1.6,1.4,1.3,0.99,1.1,1.4,1.5,1,0.93,0.67,0.58,0.89,0.9,0.89
hti,Haiti,176,156,134,117,107,103,101,75,68,62,53,52,46,42,39,33,30,29,27,26,23,23,21,18,18
hun,Hungary,4.2,3.8,3.3,3.1,3,2.6,1.9,2.2,1.9,1.7,1.6,1.3,1.3,1,0.91,1.1,0.7,0.68,0.89,0.67,0.58,0.59,0.59,0.8,0.8
idn,Indonesia,57,56,55,55,53,53,53,53,53,53,51,50,48,47,45,42,41,39,37,36,40,50,52,47,44
ind,India,99,91,83,76,69,65,62,58,56,51,47,44,41,38,34,32,29,28,27,25,23,23,23,22,21
irl,Ireland,1.6,1.1,1.3,1.1,1.2,0.76,1.1,1.3,0.83,0.91,0.87,0.73,0.67,0.57,0.57,0.44,0.41,0.39,0.57,0.19,0.39,0.3,0.21,0.4,0.41
irn,Iran,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1,0.91,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1
irq,Iraq,5.4,4.9,4.7,5.8,5.2,5,5,4.5,4,3.7,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.2,2.1,2,1.8,1.7,1.6,1.5
isl,Iceland,0.73,1.1,1.4,2.4,1.4,1.1,0.74,1.6,0.71,2.6,1.1,0.8,0.87,0.53,0.6,0.61,0.52,0.48,0.41,0.35,0.29,0.56,0.25,0.24,0.24
isr,Israel,1.5,1.1,1.1,1,0.73,0.84,0.61,0.67,0.48,0.45,0.44,0.39,0.35,0.24,0.27,0.23,0.23,0.18,0.27,0.25,0.13,0.15,0.15,0.26,0.26
ita,Italy,1.3,1.2,1.2,1.2,0.97,0.89,0.89,0.78,0.8,0.82,0.77,0.75,0.64,0.52,0.55,0.63,0.58,0.58,0.56,0.53,0.43,0.45,0.49,0.56,0.56
jam,Jamaica,2.5,1.8,1.6,3,1.7,1.7,1.1,0.94,0.9,1.4,0.99,0.63,0.66,0.41,0.57,0.58,0.52,0.57,0.4,0.37,0.35,0.41,0.45,0.46,0.36
jor,Jordan,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.35,0.36,0.34,0.19,0.16,0.12,0.07,0.12,0.1,0.1,0.09,0.09,0.09,0.11,0.09,0.09
jpn,Japan,4.2,3.9,3.6,3.5,3.5,3.5,3.3,3.2,3.2,3,3,2.9,2.8,2.7,2.6,2.4,2.4,2.9,2.8,2.6,2.3,2.2,2.6,1.2,1.2
kaz,Kazakhstan,27,25,26,24,22,24,21,18,17,14,12,10,9.5,6.2,5.5,4.2,3.7,3.3,3,2.7,3,2.6,2.8,2.3,1.9
ken,Kenya,183,195,202,226,231,228,235,219,197,197,181,171,158,148,139,123,111,88,64,62,60,62,48,42,43
kgz,Kyrgyz Republic,22,25,21,19,17,16,17,14,13,12,12,13,12,12,10,8.9,8.1,7.4,6.7,5.3,5.8,6.1,5.8,5.2,5
khm,Cambodia,81,75,69,63,57,52,47,42,39,35,33,30,28,27,25,24,23,22,21,20,19,19,20,19,18
kir,Kiribati,55,51,50,51,51,50,50,49,47,45,43,40,40,40,39,38,38,38,37,37,37,38,38,39,39
kna,St. Kitts and Nevis,2.2,2.2,2.6,3,3.5,3.9,4.2,2.1,2.1,2.1,2.1,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
kor,South Korea,8.9,8.4,8.4,8.5,7.6,7.6,7.2,6.3,6.1,5.9,6.2,6.1,6.2,5.5,5.5,5.3,5.1,4.3,4.2,3.8,3.2,3.4,2.7,3,3
kwt,Kuwait,1.2,1.2,1.5,1,1.2,1.2,0.77,1.2,0.85,1.4,1.4,0.73,0.85,0.2,0.17,0.48,0.49,0.52,0.37,0.41,0.39,0.39,0.4,0.38,0.37
lao,Lao,127,120,114,108,100,92,86,83,78,76,72,66,65,62,58,55,49,41,34,30,22,30,15,9.9,9
lbn,Lebanon,7,5.6,4.3,3.3,3.1,2.8,2.5,3,3.1,2.8,2.7,2.5,3,2.9,2.5,2.3,2.2,2,2.2,2.5,2.2,1.6,1.7,1.7,1.8
